,ANTIG,COMP,PROM,CATEG,COMINT,COMPPRES,RATE,VISIT,DIASSINQ,TASARET,NUMQ,RETRE,TARGET CLASS
0,"9,139173266",11621,2.84,5810.36,26441,43381,0.881519307,7,644,0.879422091,6.157047187,17.72999614,1
1,"6,356319041",10037,2.68,5018.61,28898,51339,1.621125592,54,1014,0.621552215,7.463508023,12.45838532,0
2,"7,21359808",12015,4.61,,29946,84812,1.801952218,,1154,0.957877023,6.427983966,13.99438027,0
3,"12,34204402",13867,3.27,,28897,63472,2.187819803,,1380,1.522692046,5.765465124,24.68408803,1
4,"12,79490824",9497,3.14,,23414,68474,1.759318598,,647,1.463811751,7.095832883,24.31032566,1
5,"8,339278079",15233,5.52,,35740,61520,2.527323838,,1281,0.510350261,7.64021836,16.17819947,0
6,"9,447053248",12518,5.37,6258.81,10027,55357,1.072150583,73,755,1.111800321,5.554211523,18.13834224,0
7,"8,16173851",10884,4.48,5441.96,8535,52395,2.612828195,,1342,1.22532404,7.12892037,16.16024225,0
8,"7,765506448",14638,3.92,7319.06,11805,41234,2.681890315,7,1313,1.118165161,6.129608112,15.5310129,0
9,"7,722800984",5151,4.46,2575.56,32930,79475,2.214690724,,597,1.542579617,4.909397452,15.13668993,1
10,12.84999004,13310,3.09,,22996,57621,1.793363922,62,599,1.245675868,7.208472766,24.67198088,1
11,10.64356245,14149,4.48,,22018,80427,1.979808173,,1237,0.564280969,7.118341324,20.4356399,0
12,6.829530447,12547,4.99,,13920,56201,1.41965664,,1094,0.847015278,6.873892922,12.97610785,0
13,9.533179522,13190,2.81,,31693,69350,1.69448782,,528,1.541711667,5.594800139,18.11304109,1
14,8.012684652,9364,3.48,4681.95,34035,47294,3.607796609,,1641,1.11873719,7.132864032,15.22410084,0
15,10.61690969,10449,3.00,5224.46,16285,51682,2.435851926,,1248,1.217624809,8.115769681,21.23381938,1
16,7.156447382,13786,4.99,6892.97,23625,68273,3.05823346,47,1560,0.845323955,6.243571356,14.31289476,0
17,8.997915925,12259,6.65,,11760,70753,2.750901499,,1224,1.113441354,7.45075686,17.63591521,0
18,8.838129519,12759,4.62,,23408,70500,3.455233584,58,727,0.975833245,8.269073081,17.14597127,0
19,7.683108147,13943,4.12,6971.52,21423,70411,2.204858679,,1661,0.74288539,5.493521099,15.21255413,0
20,12.5286383,16618,4.61,8309.10,30628,78547,3.326216215,72,1281,0.736994289,5.964827535,23.80441276,0
21,6.124883282,13390,5.36,6694.91,27972,40148,2.849658472,,1742,1.021007203,5.996013042,12.24976656,0
22,6.616516797,6036,4.42,3017.81,16958,46237,2.736634761,,1352,0.843353363,7.446041806,13.10070326,0
23,12.77637962,9250,0.85,4625.01,37015,55329,2.335131257,7,1025,1.393101053,6.14205349,24.78617647,1
24,11.09953078,13635,3.24,6817.31,12885,74491,2.721255787,,1132,0.794287473,6.892301679,21.97707095,0
25,5.768393881,13191,5.58,6595.34,39619,84008,2.386660568,,1028,1.253366532,7.952815728,10.95994837,0
26,8.559268409,8596,4.17,,31699,65999,3.496914691,73,867,1.720439947,7.141747591,16.60498071,1
27,9.124034971,9356,2.64,,23434,54405,1.924000872,43,697,0.985916381,7.708988073,17.88310854,1
28,6.777784688,10408,3.28,,16780,62188,3.066736554,,1087,0.36515661,5.836197435,13.28445799,0
29,13.93081224,11936,3.83,,33640,68057,2.824759843,6,509,1.380974605,7.031260029,27.58300824,1
30,13.72113751,11202,2.35,5600.96,33652,54300,2.226567521,,904,1.362030113,7.874836302,26.61900678,1
31,8.140052893,5967,1.94,2983.63,21932,36878,2.462357112,62,840,0.812727504,3.705238685,15.4661005,1
32,16.05452048,5496,3.03,2748.18,27014,62255,2.872482851,,680,1.244797083,4.790162409,30.82467932,1
33,10.64013435,13654,5.18,,25451,60805,2.598417016,59,1160,1.6371194,7.616168694,21.28026871,1
34,12.2355168,10035,2.49,5017.35,19944,54822,2.31013176,70,841,1.579611703,6.797250361,24.47103361,1
35,4.55783049,10540,6.01,5270.22,25785,75833,3.079063279,64,1134,0.914157868,7.914147178,9.11566098,0
36,4.29372005,10858,3.83,5428.93,23731,72152,2.344262623,,1223,0.649233596,7.465196165,8.587440101,0
37,9.800290743,14431,3.98,7215.72,18027,41616,2.03452023,,700,1.491738767,6.517146591,19.60058149,1
38,12.9134888,8577,5.11,4288.31,16566,70173,2.429157872,,745,1.678437067,5.706408234,25.56870783,1
39,3.423861335,10913,4.46,5456.50,19761,32886,2.911538981,,1330,0.903787638,5.941345071,6.84772267,0
40,10.51096096,5693,2.77,2846.67,17108,65742,1.549251163,,747,1.22472062,6.210440501,19.97082582,1
41,6.835077189,16069,4.58,8034.60,38456,44877,2.215961091,68,976,1.09022587,8.292736848,12.98664666,0
42,12.71696703,9319,3.87,4659.43,18239,60369,3.007602474,,921,1.186510219,8.676708179,25.43393405,1
43,7.543683048,8592,4.23,4295.77,30520,35320,3.159849273,,1511,0.659195051,6.371751485,14.78561877,0
44,10.42727863,10232,7.00,5115.75,29274,33367,2.756752065,,1566,0.600208221,6.954106788,20.02037496,0
45,9.670538002,10079,4.42,5039.66,12520,46888,0.900095438,7,1065,1.024564017,6.374010263,19.341076,0
46,6.668342703,12412,5.89,6205.80,23845,58064,2.355284403,,1283,0.900761875,8.879663162,12.80321799,0
47,10.35563114,13037,4.87,6518.35,29943,61909,1.681504249,,1003,1.749759729,6.033979357,19.67569917,1
48,8.119285024,14055,4.70,7027.50,23569,67738,3.082819948,,1421,1.148010884,8.022920324,15.91379865,0
49,11.05787822,6837,0.97,3418.75,26240,56018,3.167346388,,995,1.320821578,5.125496591,22.11575644,1
50,8.766327912,12517,5.37,6258.63,30447,58348,3.76856009,57,1709,0.966391922,6.139220647,17.53265582,0
51,15.15039096,9006,3.07,4502.90,23360,64687,2.199373269,59,565,1.220010787,6.688914405,29.69476629,1
52,10.72980825,10850,2.65,5424.88,14069,56493,1.800199514,,833,1.516246584,5.847438405,20.60123184,1
53,12.87616542,11435,2.68,5717.39,23448,43191,2.11217623,52,776,1.486114942,6.481497674,25.49480754,1
54,16.72816756,8820,2.92,4410.07,26024,44742,2.111177027,,698,1.182022114,6.529134913,31.78351836,1
55,10.49670702,9558,5.96,4779.03,33724,49014,3.046756838,63,1785,1.138222207,7.327859157,20.57354577,0
56,9.924136781,12512,1.89,,18709,51639,2.113036288,,1501,0.829885115,5.774663831,19.45130809,0
57,11.65756305,12419,5.93,,15340,41173,1.349518067,7,1128,1.111126868,7.230123606,22.14936979,1
58,14.03417258,11581,2.90,,24185,69299,1.728908736,65,1028,1.268334624,7.63316251,26.94561135,1
59,6.054300985,6153,4.06,,30792,48828,2.513284977,,784,1.509402095,7.851415265,11.98751595,1
